puzzle_id,solved,correct,time_seconds,nodes_explored,backtracks,arc_revisions,steps,error
lgp-test-5x6-16,True,True,0.0050,106,103,166,106,"{""1"": {""lunch"": ""grilled cheese"", ""name"": ""Bob"", ""nationalitie"": ""german"", ""color"": ""yellow"", ""animal"": ""dog"", ""genre"": ""mystery""}, ""2"": {""nationalitie"": ""norwegian"", ""genre"": ""fantasy"", ""lunch"": ""stew"", ""name"": ""Eric"", ""color"": ""blue"", ""animal"": ""fish""}, ""3"": {""name"": ""Peter"", ""lunch"": ""spaghetti"", ""color"": ""green"", ""nationalitie"": ""dane"", ""genre"": ""science fiction"", ""animal"": ""cat""}, ""4"": {""name"": ""Arnold"", ""lunch"": ""stir fry"", ""nationalitie"": ""swede"", ""genre"": ""biography"", ""animal"": ""bird"", ""color"": ""red""}, ""5"": {""name"": ""Alice"", ""animal"": ""horse"", ""lunch"": ""pizza"", ""nationalitie"": ""brit"", ""genre"": ""romance"", ""color"": ""white""}}",
lgp-test-4x4-27,True,True,0.0010,17,0,77,17,"{""1"": {""occupation"": ""engineer"", ""name"": ""Alice"", ""genre"": ""romance"", ""model"": ""google pixel 6""}, ""2"": {""name"": ""Peter"", ""occupation"": ""artist"", ""genre"": ""fantasy"", ""model"": ""samsung galaxy s21""}, ""3"": {""occupation"": ""teacher"", ""name"": ""Eric"", ""model"": ""iphone 13"", ""genre"": ""science fiction""}, ""4"": {""name"": ""Arnold"", ""occupation"": ""doctor"", ""genre"": ""mystery"", ""model"": ""oneplus 9""}}",
lgp-test-6x4-15,False,False,0.0010,0,0,162,0,,
lgp-test-6x5-2,True,False,0.0030,38,8,216,38,"{""1"": {""are"": ""Kailyn"", ""vacation"": ""cruise"", ""child"": ""Meredith"", ""genre"": ""biography"", ""name"": ""Bob""}, ""2"": {""are"": ""Sarah"", ""vacation"": ""city"", ""genre"": ""historical fiction"", ""name"": ""Alice"", ""child"": ""Fred""}, ""3"": {""name"": ""Carol"", ""genre"": ""fantasy"", ""are"": ""Holly"", ""child"": ""Bella"", ""vacation"": ""mountain""}, ""4"": {""vacation"": ""cultural"", ""genre"": ""mystery"", ""name"": ""Peter"", ""are"": ""Penny"", ""child"": ""Timothy""}, ""5"": {""name"": ""Arnold"", ""are"": ""Janelle"", ""genre"": ""science fiction"", ""child"": ""Alice"", ""vacation"": ""camping""}, ""6"": {""are"": ""Aniya"", ""genre"": ""romance"", ""name"": ""Eric"", ""child"": ""Samantha"", ""vacation"": ""beach""}}",
lgp-test-2x2-33,True,True,0.0000,5,0,6,5,"{""1"": {""name"": ""Eric"", ""pet"": ""cat""}, ""2"": {""name"": ""Arnold"", ""pet"": ""dog""}}",
lgp-test-4x4-3,True,True,0.0010,25,10,73,25,"{""1"": {""month"": ""feb"", ""name"": ""Peter"", ""house"": ""colonial"", ""are"": ""Aniya""}, ""2"": {""month"": ""april"", ""house"": ""ranch"", ""name"": ""Arnold"", ""are"": ""Holly""}, ""3"": {""month"": ""jan"", ""house"": ""craftsman"", ""are"": ""Kailyn"", ""name"": ""Alice""}, ""4"": {""name"": ""Eric"", ""month"": ""sept"", ""house"": ""victorian"", ""are"": ""Janelle""}}",
lgp-test-2x4-5,True,True,0.0000,9,0,8,9,"{""1"": {""name"": ""Eric"", ""flower"": ""daffodils"", ""color"": ""red"", ""height"": ""short""}, ""2"": {""name"": ""Arnold"", ""flower"": ""carnations"", ""color"": ""yellow"", ""height"": ""very short""}}",
lgp-test-5x5-30,True,True,0.0020,75,56,152,75,"{""1"": {""name"": ""Arnold"", ""vacation"": ""camping"", ""color"": ""blue"", ""education"": ""bachelor"", ""model"": ""samsung galaxy s21""}, ""2"": {""name"": ""Eric"", ""vacation"": ""beach"", ""education"": ""high school"", ""color"": ""green"", ""model"": ""huawei p50""}, ""3"": {""name"": ""Peter"", ""vacation"": ""city"", ""education"": ""associate"", ""color"": ""white"", ""model"": ""iphone 13""}, ""4"": {""name"": ""Alice"", ""education"": ""master"", ""color"": ""red"", ""vacation"": ""cruise"", ""model"": ""google pixel 6""}, ""5"": {""name"": ""Bob"", ""vacation"": ""mountain"", ""model"": ""oneplus 9"", ""education"": ""doctorate"", ""color"": ""yellow""}}",
lgp-test-3x5-34,True,True,0.0010,16,0,47,16,"{""1"": {""name"": ""Peter"", ""color"": ""yellow"", ""genre"": ""pop"", ""education"": ""high school"", ""model"": ""google pixel 6""}, ""2"": {""color"": ""white"", ""education"": ""associate"", ""model"": ""samsung galaxy s21"", ""genre"": ""rock"", ""name"": ""Eric""}, ""3"": {""color"": ""red"", ""education"": ""bachelor"", ""genre"": ""classical"", ""name"": ""Arnold"", ""model"": ""iphone 13""}}",
lgp-test-4x5-3,True,True,0.0010,22,3,93,22,"{""1"": {""are"": ""Holly"", ""genre"": ""science fiction"", ""name"": ""Alice"", ""vacation"": ""mountain"", ""color"": ""red""}, ""2"": {""name"": ""Peter"", ""are"": ""Aniya"", ""vacation"": ""city"", ""color"": ""yellow"", ""genre"": ""romance""}, ""3"": {""name"": ""Arnold"", ""are"": ""Janelle"", ""color"": ""green"", ""vacation"": ""cruise"", ""genre"": ""fantasy""}, ""4"": {""are"": ""Kailyn"", ""name"": ""Eric"", ""vacation"": ""beach"", ""genre"": ""mystery"", ""color"": ""white""}}",
