id,grid_solution,steps
lgp-test-5x6-16,"{""header"": [""House"", ""Animal"", ""Color"", ""Genre"", ""Lunch"", ""Name"", ""Nationalitie""], ""rows"": [[""1"", ""dog"", ""yellow"", ""mystery"", ""grilled cheese"", ""Bob"", ""german""], [""2"", ""fish"", ""blue"", ""fantasy"", ""stew"", ""Eric"", ""norwegian""], [""3"", ""cat"", ""green"", ""science fiction"", ""spaghetti"", ""Peter"", ""dane""], [""4"", ""bird"", ""red"", ""biography"", ""stir fry"", ""Arnold"", ""swede""], [""5"", ""horse"", ""white"", ""romance"", ""pizza"", ""Alice"", ""brit""]]}",106
lgp-test-4x4-27,"{""header"": [""House"", ""Genre"", ""Model"", ""Name"", ""Occupation""], ""rows"": [[""1"", ""romance"", ""google pixel 6"", ""Alice"", ""engineer""], [""2"", ""fantasy"", ""samsung galaxy s21"", ""Peter"", ""artist""], [""3"", ""science fiction"", ""iphone 13"", ""Eric"", ""teacher""], [""4"", ""mystery"", ""oneplus 9"", ""Arnold"", ""doctor""]]}",17
lgp-test-6x4-15,,0
lgp-test-6x5-2,"{""header"": [""House"", ""Are"", ""Child"", ""Genre"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Kailyn"", ""Meredith"", ""biography"", ""Bob"", ""cruise""], [""2"", ""Sarah"", ""Fred"", ""historical fiction"", ""Alice"", ""city""], [""3"", ""Holly"", ""Bella"", ""fantasy"", ""Carol"", ""mountain""], [""4"", ""Penny"", ""Timothy"", ""mystery"", ""Peter"", ""cultural""], [""5"", ""Janelle"", ""Alice"", ""science fiction"", ""Arnold"", ""camping""], [""6"", ""Aniya"", ""Samantha"", ""romance"", ""Eric"", ""beach""]]}",38
lgp-test-2x2-33,"{""header"": [""House"", ""Name"", ""Pet""], ""rows"": [[""1"", ""Eric"", ""cat""], [""2"", ""Arnold"", ""dog""]]}",5
lgp-test-4x4-3,"{""header"": [""House"", ""Are"", ""House"", ""Month"", ""Name""], ""rows"": [[""1"", ""Aniya"", ""colonial"", ""feb"", ""Peter""], [""2"", ""Holly"", ""ranch"", ""april"", ""Arnold""], [""3"", ""Kailyn"", ""craftsman"", ""jan"", ""Alice""], [""4"", ""Janelle"", ""victorian"", ""sept"", ""Eric""]]}",25
lgp-test-2x4-5,"{""header"": [""House"", ""Color"", ""Flower"", ""Height"", ""Name""], ""rows"": [[""1"", ""red"", ""daffodils"", ""short"", ""Eric""], [""2"", ""yellow"", ""carnations"", ""very short"", ""Arnold""]]}",9
lgp-test-5x5-30,"{""header"": [""House"", ""Color"", ""Education"", ""Model"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""blue"", ""bachelor"", ""samsung galaxy s21"", ""Arnold"", ""camping""], [""2"", ""green"", ""high school"", ""huawei p50"", ""Eric"", ""beach""], [""3"", ""white"", ""associate"", ""iphone 13"", ""Peter"", ""city""], [""4"", ""red"", ""master"", ""google pixel 6"", ""Alice"", ""cruise""], [""5"", ""yellow"", ""doctorate"", ""oneplus 9"", ""Bob"", ""mountain""]]}",75
lgp-test-3x5-34,"{""header"": [""House"", ""Color"", ""Education"", ""Genre"", ""Model"", ""Name""], ""rows"": [[""1"", ""yellow"", ""high school"", ""pop"", ""google pixel 6"", ""Peter""], [""2"", ""white"", ""associate"", ""rock"", ""samsung galaxy s21"", ""Eric""], [""3"", ""red"", ""bachelor"", ""classical"", ""iphone 13"", ""Arnold""]]}",16
lgp-test-4x5-3,"{""header"": [""House"", ""Are"", ""Color"", ""Genre"", ""Name"", ""Vacation""], ""rows"": [[""1"", ""Holly"", ""red"", ""science fiction"", ""Alice"", ""mountain""], [""2"", ""Aniya"", ""yellow"", ""romance"", ""Peter"", ""city""], [""3"", ""Janelle"", ""green"", ""fantasy"", ""Arnold"", ""cruise""], [""4"", ""Kailyn"", ""white"", ""mystery"", ""Eric"", ""beach""]]}",22
lgp-test-2x6-24,"{""header"": [""House"", ""Cigar"", ""Name"", ""Nationalitie"", ""Occupation"", ""Pet"", ""Sport""], ""rows"": [[""1"", ""pall mall"", ""Eric"", ""dane"", ""engineer"", ""cat"", ""basketball""], [""2"", ""prince"", ""Arnold"", ""brit"", ""doctor"", ""dog"", ""soccer""]]}",13
lgp-test-6x2-9,"{""header"": [""House"", ""Flower"", ""Name""], ""rows"": [[""1"", ""iris"", ""Peter""], [""2"", ""lilies"", ""Carol""], [""3"", ""carnations"", ""Bob""], [""4"", ""daffodils"", ""Alice""], [""5"", ""tulips"", ""Arnold""], [""6"", ""roses"", ""Eric""]]}",14
